GloVe_2_50,HPCA_2_50,Word2Vec_2_50,GloVe_2_200,HPCA_2_200,Word2Vec_2_200,GloVe_5_50,HPCA_5_50,Word2Vec_5_50,GloVe_5_200,HPCA_5_200,Word2Vec_5_200
"['with', 'nevertheless', 'came', 'but', 'walker', 'unfortunately', 'dunn', 'add', 'saw', 'depending']","['likewise', 'punch', 'hart', 'rough', 'lNUMBER', 'judgment', 'frames', 'sm', 'rendered', 'nation']","['whereas', 'both', 'accordingly', 'use', 'behavior', 'timing', 'offer', 'introduced', 'using', 'mystery']","['whereas', 'alternatively', 'instance', 'harvey', 'holmes', 'including', 'incorporating', 'etc', 'reynolds', 'irene']","['hunter', 'use', 'richmond', 'brooks', 'beast', 'vision', 'jack', 'wall', 'paper', 'in']","['consequently', 'wilson', 'namely', 'actual', 'underneath', 'savage', 'rachel', 'thief', 'crazy', 'behavior']","['along', 'beast', 'richardson', 'freeman', 'aside', 'aim', 'followed', 'gave', 'merely', 'dixon']","['of', 'additionally', 'parker', 'lacking', 'particular', 'harris', 'noble', 'harvey', 'problem', 'operation']","['the', 'thompson', 'possibility', 'bare', 'merely', 'unit', 'wire', 'form', 'rebecca', 'though']","['furthermore', 'even', 'up', 'hence', 'way', 'called', 'other', 'phillips', 'miller', 'down']","['and', 'furthermore', 'miller', 'jones', 'smith', 'parker', 'out', 'russell', 'particularly', 'hunter']","['likewise', 'considering', 'using', 'robinson', 'then', 'seemingly', 'called', 'NUMBER', 'devil', 'interpretation']"
"['giving', 'combination', 'sort', 'dash', 'curtis', 'alternatively', 'drake', 'taking', 'fool', 'quotes']","['similarly', 'observe', 'changing', 'chain', 'method', 'cartoon', 'roger', 'package', 'striking', 'semi']","['and', 'miller', 'robinson', 'monster', 'behaviour', 'observe', 'patterns', 'inclusion', 'rabbit', 'furthermore']","['similarly', 'hence', 'besides', 'clark', 'since', 'roberts', 'hoffman', 'dixon', 'suggesting', 'or']","['lewis', 'phillips', 'bennett', 'joy', 'killer', 'function', 'campbell', 'boyd', 'experience', 'witness']","['likewise', 'hence', 'principle', 'NUMBER', 'aka', 'unfortunately', 'actually', 'dynamic', 'feeling', 'presenting']","['webb', 'indeed', 'neither', 'seeing', 'notes', 'effect', 'though', 'setting', 'augustine', 'monkey']","['similarly', 'beast', 'before', 'roberts', 'nothing', 'twilight', 'area', 'defining', 'rabbit', 'dixon']","['both', 'dog', 'flame', 'seven', 'future', 'altogether', 'origin', 'alice', 'move', 'getting']","['some', 'although', 'though', 'time', 'curtis', 'within', 'more', 'alternatively', 'presumably', 'know']","['moreover', 'in', 'robinson', 'presumably', 'face', 'harris', 'thompson', 'arnold', 'one', 'man']","['finally', 'accordingly', 'david', 'monkey', 'specifically', 'concept', 'howard', 'building', 'some', 'sand']"
"['contrast', 'termed', 'gap', 'incorporating', 'essentially', 'exception', 'finally', 'overview', 'alongside', 'went']","['credit', 'take', 'breaking', 'challenger', 'thompson', 'while', 'NUMBER½', 'piper', 'and', 'contact']","['bennett', 'similarly', 'dog', 'instead', 'indeed', 'besides', 'williams', 'but', 'some', 'spiral']","['both', 'consequently', 'fact', 'while', 'well', 'nonetheless', 'robinson', 'combining', 'for', 'contrary']","['and', 'arnold', 'ghost', 'circus', 'pattern', 'flash', 'wood', 'tom', 'wizard', 'establishment']","['morris', 'transformation', 'tom', 'labeled', 'presents', 'dan', 'alex', 'cat', 'chaos', 'singapore']","['whereas', 'likewise', 'with', 'consequently', 'both', 'example', 'additionally', 'take', 'reference', 'dash']","['and', 'dream', 'up', 'accordingly', 'although', 'hence', 'difficulty', 'danger', 'around', 'ship']","['and', 'use', 'another', 'whereas', 'even', 'therefore', 'large', 'in', 'finally', 'actually']","['others', 'rather', 'accordingly', 'or', 'arnold', 'charlie', 'referred', 'early', 'scott', 'prior']","['however', 'last', 'once', 'taking', 'first', 'NUMBER', 'evans', 'small', 'brooks', 'situation']","['furthermore', 'indeed', 'instead', 'dennis', 'actually', 'hence', 'simple', 'unfortunately', 'joy', 'strange']"
"['whereas', 'furthermore', 'lawson', 'consequently', 'supposedly', 'boyd', 'neither', 'utilized', 'stack', 'concerns']","['moore', 'finding', 'third', 'brand', 'moreover', 'acceptance', 'boot', 'leave', 'lake', 'moves']","['principle', 'the', 'bee', 'acceptance', 'NUMBERc', 'making', 'promise', 'lewis', 'henderson', 'hungarian']","['with', 'rather', 'termed', 'even', 'contrast', 'boyd', 'example', 'hayes', 'but', 'chapman']","['oliver', 'moreover', 'richardson', 'bottle', 'so', 'ghosts', 'concept', 'micro', 'edge', 'smile']","['smith', 'accordingly', 'respectively', 'genuine', 'brooks', 'altogether', 'tiny', 'wolves', 'nonetheless', 'support']","['also', 'lawson', 'considering', 'sg', 'reason', 'manner', 'seen', 'working', 'choosing', 'bare']","['russell', 'other', 'future', 'taking', 'still', 'minimal', 'stevens', 'baker', 'fail', 'force']","['miller', 'addition', 'essentially', 'fear', 'latest', 'matthews', 'tradition', 'concept', 'establishment', 'making']","['well', 'the', 'also', 'nevertheless', 'wilson', 'consequently', 'when', 'robinson', 'smith', 'which']","['another', 'make', 'form', 'creating', 'although', 'baker', 'explained', 'bell', 'policy', 'creation']","['both', 'wilson', 'even', 'of', 'brian', 'nonetheless', 'actual', 'beginning', 'mitchell', 'love']"
"['likewise', 'merely', 'putting', 'spite', 'unlike', 'both', 'making', 'patterson', 'well', 'keeping']","['taking', 'ring', 'balance', 'that', 'troop', 'romanian', 'control', 'friend', 'lodge', 'give']","['jungle', 'sarah', 'natives', 'presence', 'kid', 'clark', 'nevertheless', 'nonetheless', 'abc', 'suggesting']","['as', 'followed', 'utilized', 'instead', 'once', 'resulting', 'hawkins', 'jenkins', 'from', 'consequence']","['one', 'indeed', 'roberts', 'furthermore', 'nelson', 'presentation', 'shadows', 'nash', 'sand', 'community']","['the', 'whereas', 'thus', 'joy', 'interpretation', 'instead', 'simple', 'finally', 'raven', 'warrior']","['particular', 'otherwise', 'unlike', 'accordingly', 'contrary', 'up', 'albany', 'arguing', 'within', 'over']","['with', 'consequently', 'blind', 'moreover', 'merely', 'mystery', 'once', 'third', 'proper', 'final']","['harris', 'however', 'instead', 'seeing', 'case', 'actual', 'quick', 'one', 'dennis', 'parker']","['moreover', 'example', 'instead', 'dunn', 'contrast', 'dream', 'respectively', 'either', 'stevens', 'first']","['this', 'wilson', 'others', 'ghost', 'case', 'finally', 'curtis', 'ship', 'established', 'repeated']","['the', 'thus', 'essentially', 'nevertheless', 'only', 'move', 'barrett', 'case', 'context', 'williams']"
