GloVe_2_50,HPCA_2_50,Word2Vec_2_50,GloVe_2_200,HPCA_2_200,Word2Vec_2_200,GloVe_5_50,HPCA_5_50,Word2Vec_5_50,GloVe_5_200,HPCA_5_200,Word2Vec_5_200
"['sullivan', 'reid', 'ted', 'helen', 'goodman', 'juan', 'richie', 'surrey', 'frederick', 'dublin']","['taylor', 'spencer', 'carr', 'lynch', 'howard', 'nash', 'dalton', 'harrison', 'brent', 'robbie']","['brian', 'donovan', 'jenkins', 'carter', 'griffin', 'trevor', 'john', 'steven', 'hannah', 'liu']","['taylor', 'johnson', 'gardner', 'powell', 'elliott', 'jeffrey', 'dan', 'ryan', 'christine', 'sara']","['evans', 'reid', 'tom', 'webster', 'kate', 'amy', 'billy', 'ronnie', 'lynch', 'sara']","['garrett', 'johnson', 'spencer', 'leslie', 'nelson', 'powell', 'bradley', 'buchanan', 'neill', 'jacobs']","['parker', 'reid', 'oliver', 'rodney', 'edwards', 'hale', 'cooke', 'phillip', 'blair', 'hamilton']","['dawson', 'robertson', 'johnston', 'osborne', 'ryan', 'blair', 'parsons', 'nancy', 'dorothy', 'lópez']","['robinson', 'evans', 'ferguson', 'spencer', 'anderson', 'matthew', 'stanley', 'eddie', 'janet', 'betty']","['shaw', 'martin', 'alan', 'willis', 'julie', 'jenny', 'jane', 'hamilton', 'helen', 'gardner']","['webb', 'williams', 'powell', 'johnson', 'alan', 'myers', 'amy', 'jon', 'amanda', 'buchanan']","['neil', 'jason', 'joe', 'burns', 'lynn', 'byron', 'july', 'ninth', 'catherine', 'roberto']"
"['spencer', 'pearson', 'oliver', 'williams', 'pat', 'jon', 'potter', 'kate', 'harry', 'fraser']","['bruce', 'matthews', 'conway', 'gould', 'pete', 'webster', 'julie', 'heather', 'alejandro', 'arizona']","['saunders', 'reflected', 'belonging', 'closure', 'formed', 'braves', 'suicide', 'employed', 'executives', 'dayton']","['clarke', 'charlie', 'simon', 'katie', 'similarly', 'jacob', 'including', 'carson', 'abc', 'notes']","['dunn', 'wheeler', 'derek', 'alan', 'burton', 'eddie', 'pete', 'joan', 'edwin', 'joshua']","['duncan', 'walsh', 'karl', 'invested', 'milan', 'cuts', 'difficulties', 'architects', 'seventy', 'dish']","['mitchell', 'walton', 'pierre', 'kansas', 'instance', 'buying', 'frankfurt', 'solid', 'stating', 'resource']","['curtis', 'garrett', 'donald', 'july', 'edmund', 'not', 'behavioral', 'southwest', 'nascar', 'ida']","['mason', 'curtis', 'thornton', 'david', 'pete', 'manuel', 'edgar', 'glenn', 'garcía', 'christine']","['ellis', 'walker', 'glenn', 'warren', 'fred', 'porter', 'janet', 'josh', 'davies', 'ellen']","['garrett', 'fred', 'karl', 'javier', 'indiana', 'mickey', 'electoral', 'generating', 'andhra', 'taking']","['nathan', 'emily', 'patrick', 'geoff', 'consequently', 'sara', 'otto', 'suggesting', 'viii', 'lou']"
"['patterson', 'simpson', 'bradley', 'scott', 'webster', 'eddie', 'pete', 'stephen', 'norman', 'reyes']","['roberts', 'abbott', 'mike', 'karen', 'buddy', 'columbus', 'wayne', 'lionel', 'schmidt', 'paula']","['murphy', 'hayes', 'glenn', 'sylvia', 'clive', 'kathleen', 'ernest', 'enrique', 'joan', 'tracy']","['parker', 'eddie', 'samuel', 'garcía', 'victor', 'ali', 'yu', 'alabama', 'clive', 'saskatchewan']","['lynn', 'rivera', 'df', 'agnes', 'kilometres', 'second', 'cardiff', 'width', 'anthology', 'revived']","['david', 'wallace', 'eddie', 'larry', 'lawrence', 'geoff', 'lynch', 'jean', 'december', 'herman']","['wilson', 'perkins', 'carter', 'casey', 'tony', 'pete', 'hancock', 'mike', 'alex', 'katherine']","['murphy', 'dennis', 'glenn', 'sammy', 'christopher', 'garcía', 'freddie', 'texas', 'lawrence', 'jean']","['thompson', 'walker', 'blair', 'jon', 'yu', 'fernández', 'viii', 'feels', 'trumpet', 'penny']","['howard', 'fletcher', 'derek', 'bernard', 'hart', 'lauren', 'timothy', 'zhang', 'wilhelm', 'feb']","['morris', 'murphy', 'lisa', 'pete', 'forrest', 'sammy', 'moreover', 'manuel', 'pauline', 'veronica']","['david', 'hayes', 'danny', 'hale', 'browne', 'benson', 'reilly', 'molly', 'jessica', 'jacobs']"
"['abbott', 'thornton', 'pierce', 'guatemala', 'paula', 'ruth', 'fernández', 'brendan', 'newark', 'belgium']","['ross', 'ken', 'thomas', 'andrew', 'katherine', 'bulgaria', 'irene', 'simon', 'guitar', 'russians']","['oliver', 'eric', 'amy', 'willie', 'schmidt', 'nicolas', 'andreas', 'seventeen', 'ali', 'monday']","['spencer', 'james', 'carol', 'chandler', 'thirty', 'javier', 'roberto', 'sometimes', 'grandson', 'aires']","['gary', 'sylvia', 'freddie', 'alain', 'roberto', 'sharma', 'christianity', 'kent', 'tokyo', 'residence']","['moore', 'james', 'lyons', 'karen', 'philip', 'carlos', 'bryan', 'frances', 'benny', 'thesis']","['bailey', 'warren', 'kate', 'jack', 'vanessa', 'clifford', 'fernández', 'georg', 'nicolas', 'even']","['harris', 'rogers', 'edwards', 'amanda', 'carroll', 'buddy', 'barton', 'forty', 'carlisle', 'cornwall']","['hughes', 'elliott', 'larry', 'wendy', 'andy', 'tina', 'melissa', 'pedro', 'trevor', 'freddie']","['johnson', 'mike', 'jason', 'norris', 'katie', 'example', 'fifty', 'marc', 'lou', 'make']","['harris', 'dalton', 'susan', 'nigel', 'montgomery', 'ahmed', 'idaho', 'with', 'pietro', 'cork']","['amy', 'fletcher', 'philip', 'shirley', 'edith', 'riley', 'yang', 'merely', 'martínez', 'hal']"
"['hart', 'stephens', 'gary', 'gould', 'neil', 'sharon', 'eight', 'april', 'paolo', 'eugene']","['bailey', 'cooper', 'clark', 'matthew', 'indiana', 'felipe', 'newcastle', 'heinrich', 'wei', 'august']","['owen', 'neal', 'tom', 'forrest', 'colin', 'alex', 'amanda', 'susan', 'kenneth', 'michael']","['marshall', 'julie', 'wheeler', 'furthermore', 'henry', 'sullivan', 'julio', 'alain', 'well', 'shah']","['thirteen', 'nebraska', 'christians', 'bass', 'estonian', 'inspection', 'gained', 'os', 'familiar', 'libya']","['wright', 'bailey', 'jerry', 'pierce', 'meanwhile', 'stronger', 'vacation', 'hilton', 'mineral', 'apps']","['kelly', 'josh', 'pierce', 'eighteen', 'claude', 'whereas', 'furthermore', 'leicester', 'arabia', 'davenport']","['ellis', 'fuller', 'wilkinson', 'pete', 'jessica', 'wang', 'henri', 'winnipeg', 'joachim', 'completely']","['lowe', 'joshua', 'browne', 'jonathan', 'sean', 'quinn', 'alex', 'katie', 'mccoy', 'roberto']","['keith', 'carr', 'jennings', 'danny', 'evelyn', 'exception', 'apr', 'michigan', 'brisbane', 'century']","['stevens', 'tom', 'neil', 'patterson', 'butler', 'julio', 'blackburn', 'aviv', 'neville', 'chemicals']","['kenneth', 'moreover', 'richie', 'saturday', 'typically', 'confidence', 'europe', 'senator', 'villain', 'instances']"
