GloVe_2_50, 
archer,0.012149274362746
aside,0.026006515955656704
rex,0.014186660719888925
adding,0.01598497542885443
termed,0.011549339431204996
exception,0.013084711649286578
likewise,0.02642283308207137
with,0.01450473825150296
combining,0.016345687574171985
and,0.016483591198210884
HPCA_2_50, 
bell,0.012411016310816474
brand,0.009582176858086527
setting,0.012676501660040081
up,0.009773975382759429
future,0.015217613531443776
punch,0.00886437585245341
dash,0.016788560210722843
noble,0.00889245935989576
diamond,0.00902554051170827
triple,0.008760989230728548
Word2Vec_2_50, 
mr,0.009134829283749753
joy,0.011161776879003008
pocket,0.02114387825314063
likewise,0.011714565223292783
future,0.014351712254404066
stella,0.009062650107742482
similarly,0.009173986742187
ball,0.014284272788698964
and,0.013221831381150862
savage,0.00935939641933788
GloVe_2_200, 
accordingly,0.026828545318961353
additionally,0.06937269821462942
likewise,0.06243097166436528
both,0.026476318082909074
similarly,0.03493170738061156
moreover,0.08348657792961997
furthermore,0.0351678662366366
as,0.02188976535912394
and,0.21978293987095476
while,0.031381251711286376
HPCA_2_200, 
joy,0.016267065622708084
bell,0.02751917192674177
dead,0.015197575205469471
hunter,0.03145948922565379
arnold,0.014140648083528641
lewis,0.022539992854743427
history,0.017764292320180983
magic,0.014903736650632972
similarly,0.0315781535629272
and,0.015693248794980644
Word2Vec_2_200, 
miller,0.03096509547671279
smith,0.02516649988219218
likewise,0.1349587338427067
similarly,0.023955063859124687
the,0.027249375005316292
presumably,0.021135746600300563
moreover,0.03396298393782534
furthermore,0.04660137533902143
NUMBER,0.020499586932757986
and,0.11956216162987175
GloVe_5_50, 
for,0.013295941885058669
along,0.012644558224633444
on,0.011745308774584743
additionally,0.012574982758364885
likewise,0.011181981291625075
similarly,0.013675615365770917
also,0.03519108988124836
dash,0.014985885688209384
as,0.01763898011627439
and,0.04342286967234716
HPCA_5_50, 
hart,0.010746408154054705
swift,0.009137004237130668
in,0.01474609877695212
likewise,0.011060746176822029
to,0.01903651514759024
the,0.016128084582497988
future,0.014322554657018607
similarly,0.009330748629338687
making,0.012482389929440627
with,0.009114340330486621
Word2Vec_5_50, 
one,0.010597207871741234
use,0.013405307973525207
and,0.021540221443949473
both,0.010659308941308843
another,0.018742554934460295
the,0.02441419991301879
stella,0.010416141759773522
furthermore,0.014009054905708682
savage,0.010362967761887623
military,0.010501455270219636
GloVe_5_200, 
however,0.028415172284682003
well,0.038480312271633794
in,0.031463756617862805
likewise,0.021514650693681713
the,0.06705916267435257
addition,0.030538333034734882
also,0.03474310095858321
instance,0.022015975829001402
furthermore,0.04541011420381431
and,0.24762311923665972
HPCA_5_200, 
miller,0.017304763674430942
with,0.02346335341156908
in,0.017046645258455853
down,0.017218290521159335
likewise,0.0561236370952304
oliver,0.019163873475948712
the,0.10940720205004743
similarly,0.022373705110573724
furthermore,0.03352223011164638
and,0.11038026747171312
Word2Vec_5_200, 
miller,0.026661047033086725
in,0.01812428289183911
and,0.24246270125868047
likewise,0.06450455853026903
indeed,0.018373705378011567
the,0.18619062487164628
smith,0.01941378516222064
moreover,0.03130094968314111
furthermore,0.04336578167188075
consequently,0.01625159160655853
